"messier_id","ngc_ic_num","common_name","img-src","object_type","distance_from_earth","constellation","apparent_mag","right_asc","declination"
"M79[96]","NGC 1904","–","//upload.wikimedia.org/wikipedia/commons/thumb/a/ae/M79a.jpg/75px-M79a.jpg","Globular cluster",41,"Lepus",8.6,"05h 24m 10.59s","−24° 31′ 27.3″"
"M80[97]","NGC 6093","–","//upload.wikimedia.org/wikipedia/commons/thumb/6/6a/A_Swarm_of_Ancient_Stars_-_GPN-2000-000930.jpg/75px-A_Swarm_of_Ancient_Stars_-_GPN-2000-000930.jpg","Globular cluster",32.6,"Scorpius",7.9,"16h 17m 02.41s","−22° 58′ 33.9″"
"M81[98]","NGC 3031","Bode's Galaxy","//upload.wikimedia.org/wikipedia/commons/thumb/6/63/Messier_81_HST.jpg/75px-Messier_81_HST.jpg","Spiral galaxy","11,400–12,200","Ursa Major",6.9,"09h 55m 33.2s","+69° 3′ 55″"
"M82[99]","NGC 3034","Cigar Galaxy","//upload.wikimedia.org/wikipedia/commons/thumb/9/9f/JPEG_M82_Cigar_Galaxyjn.jpg/75px-JPEG_M82_Cigar_Galaxyjn.jpg","Starburst galaxy","10,700–12,300","Ursa Major",8.4,"09h 55m 52.2s","+69° 40′ 47″"
"M83[100]","NGC 5236","Southern Pinwheel Galaxy","//upload.wikimedia.org/wikipedia/commons/thumb/8/85/M83_-_Southern_Pinwheel.jpg/75px-M83_-_Southern_Pinwheel.jpg","Barred Spiral galaxy",14700,"Hydra",7.5,"13h 37m 00.9s","−29° 51′ 57″"
"M84[101]","NGC 4374","–","//upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Messier_84_nucleus_Hubble.jpg/75px-Messier_84_nucleus_Hubble.jpg","Lenticular galaxy","57,000–63,000","Virgo",10.1,"12h 25m 03.7s","+12° 53′ 13″"
"M85[102]","NGC 4382","–","//upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Messier_85_Hubble_WikiSky.jpg/75px-Messier_85_Hubble_WikiSky.jpg","Lenticular galaxy","56,000–64,000","Coma Berenices",10,"12h 25m 24.0s","+18° 11′ 28″"
"M86[103]","NGC 4406","–","//upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Messier_86_Hubble_WikiSky.jpg/75px-Messier_86_Hubble_WikiSky.jpg","Lenticular galaxy","49,000–55,000","Virgo",9.8,"12h 26m 11.7s","+12° 56′ 46″"
"M87[104]","NGC 4486","Virgo A","//upload.wikimedia.org/wikipedia/commons/thumb/0/07/Messier_87_Hubble_WikiSky.jpg/75px-Messier_87_Hubble_WikiSky.jpg","Elliptical galaxy","51,870–55,130","Virgo",9.6,"12h 30m 49.42338s","+12° 23′ 28.0439″"
"M88[105]","NGC 4501","–","//upload.wikimedia.org/wikipedia/commons/thumb/7/7c/M88s.jpg/75px-M88s.jpg","Spiral galaxy","39,000–56,000","Coma Berenices",10.4,"12h 31m 59.2s","+14° 25′ 14″"
